,S#,SNAME,SEX,BDATE,HEIGHT,DORM
81,05076406,黄浩杨,男,2004/10/11,1.75,西5舍733
82,09097921,窦迪航,女,2002/5/23,1.67,东8舍601
83,04080562,刘铭,男,2005/11/10,1.72,东16舍231
84,06022145,焦之贤,女,2001/9/12,1.73,东8舍601
85,02053847,曾佳怡,男,2005/6/4,1.7,东16舍231
86,07063343,赵子熹,男,2005/12/12,1.61,东16舍231
87,04039322,危俊邺,男,2005/6/11,1.87,东16舍231
88,06079624,樊圆飞,男,2004/12/22,1.77,东25舍424
89,06063365,陈昊天,女,2002/11/3,1.57,东8舍601
90,02081003,徐意然,女,2003/1/20,1.7,东8舍601
91,06045131,王震,女,2001/3/16,1.57,东2舍205
92,04052994,耿雪晨,男,2003/9/21,1.93,东25舍424
93,04092418,张申文,男,2001/1/9,1.87,东25舍424
94,02031105,沈银杰,女,2001/4/30,1.67,东2舍205
95,06082379,冯译苇,男,2001/8/31,1.85,东25舍424
96,05079911,陈岩,男,2004/8/27,1.75,东16舍611
97,09016097,刘致源,男,2001/11/10,1.8,东16舍611
98,09022614,郝建勇,男,2004/11/5,1.63,东16舍611
99,09073764,李浩,女,2003/2/28,1.68,东2舍205
100,06040665,翟大恺,男,2001/7/12,1.9,东16舍611
101,06095303,孟其,男,2001/12/17,1.67,东7舍426
102,04037856,肖十一,女,2002/3/13,1.64,东2舍205
103,09076344,王义凡,男,2002/8/21,1.74,东7舍426
104,08092521,刘彧涵,男,2003/4/5,1.77,东7舍426
105,01014105,谢斌,男,2004/5/2,1.77,东7舍426
106,04018929,徐文静,女,2005/7/9,1.71,西24舍339
107,04037430,段俣丰,女,2001/2/9,1.6,西24舍339
108,09024272,周威,男,2002/7/24,1.88,西5舍704
109,06055811,谢雅欣,男,2003/7/5,1.66,西5舍704
110,02099449,肖子栋,女,2005/3/5,1.73,西24舍339
111,03015674,耿劭坤,男,2003/8/2,1.76,西5舍704
112,07062694,张翔,女,2003/2/12,1.57,西24舍339
113,01068619,胡嘉骏,男,2001/4/16,1.79,西5舍704
114,02092227,孙静柯,男,2002/7/30,1.94,西2舍637
115,07063769,陈思卓,女,2003/5/9,1.73,东8舍509
116,04060931,李学,女,2004/9/13,1.75,东8舍509
117,03015329,张嘉君,女,2005/8/9,1.69,东8舍509
118,08036114,于碧波,女,2001/3/15,1.61,东8舍509
119,05061032,刘冲冲,男,2001/4/17,1.74,西2舍637
120,08096463,王钟正,男,2004/11/13,1.64,西2舍637
121,07023494,张鑫,男,2001/8/22,1.75,西2舍637
122,05028801,郑艺,女,2003/6/26,1.75,东22舍305
123,03018035,魏景芳,女,2002/1/24,1.64,东22舍305
124,06073154,吴彦蓉,男,2003/7/3,1.67,东13舍712
125,06035641,谢林伶,女,2002/6/12,1.52,东22舍305
126,09016249,俞济海,男,2004/1/24,1.64,东13舍712
127,08059003,张淑玥,女,2004/8/29,1.62,东22舍305
128,05020249,刘彧言,男,2002/6/21,1.77,东13舍712
129,02078362,江雪琳,女,2002/2/21,1.6,东19舍418
130,09095729,王瑞,男,2005/3/12,1.76,东13舍712
131,08023145,樊嘉雯,男,2001/1/8,1.73,东4舍221
132,02011086,冯康玮,男,2002/5/8,1.63,东4舍221
133,07085176,周鹏凯,女,2002/1/15,1.74,东19舍418
134,09027592,牛旭峰,男,2002/7/25,1.63,东4舍221
135,07013897,马小茸,男,2003/2/4,1.76,东4舍221
136,03024427,昝艾伶,男,2002/4/8,1.8,东20舍504
137,03081196,张韵娇,女,2003/7/3,1.66,东19舍418
138,09099028,黄张兵,男,2003/12/26,1.81,东20舍504
139,05032001,彭志平,女,2001/4/9,1.52,东19舍418
140,07037336,张鑫,女,2002/11/10,1.5,东5舍210
141,08022967,贺运鸿,女,2005/10/17,1.71,东5舍210
142,06051779,曾福江,女,2001/9/10,1.62,东5舍210
143,07019097,吴政嫄,男,2003/6/15,1.77,东20舍504
144,04063909,宋婧阳,女,2002/11/12,1.67,东5舍210
145,09036383,金佳佳,男,2004/5/11,1.75,东20舍504
146,04033382,雷博伟,男,2001/7/15,1.58,西5舍313
147,04013324,蔡昭荃,女,2002/11/21,1.8,东14舍626
148,02092567,孟祥磊,女,2001/8/8,1.66,东14舍626
149,01052766,王颖诗,男,2005/5/26,1.81,西5舍313
150,09024911,孔梦瑶,女,2003/8/8,1.73,东14舍626
151,01040761,张楠,男,2004/12/18,1.71,西5舍313
152,08087714,白雨璐,女,2001/8/27,1.62,东14舍626
153,07014667,马华鹏,男,2004/6/1,1.85,西5舍313
154,07053247,李紫璇,女,2004/9/24,1.7,西22舍213
155,08015712,赖文凯,女,2002/4/28,1.77,西22舍213
156,08046973,倪金源,女,2001/6/20,1.46,西22舍213
157,04056070,杨乐为,女,2005/9/10,1.63,西22舍213
158,03078574,张凯飞,男,2004/8/18,1.71,东4舍604
159,05097748,赵迪,女,2005/8/18,1.62,西24舍508
160,01091129,黎明轩,女,2005/3/13,1.59,西24舍508
161,05015052,路永战,男,2001/12/29,1.62,东4舍604
162,07019289,方岩,女,2002/8/19,1.68,西24舍508
163,02055707,梁家勋,男,2005/12/10,1.67,东4舍604
164,01016265,刘涵,女,2003/6/2,1.54,西24舍508
165,09017675,耿固,女,2004/12/16,1.61,东22舍413
166,01071873,刘海燕,男,2004/8/25,1.82,东4舍604
167,01050280,陈瀚宇,女,2005/7/6,1.76,东22舍413
168,04082394,张佳乐,男,2002/11/17,1.65,西17舍614
169,01093556,靳一鹏,男,2005/5/2,1.75,西17舍614
170,06025426,宋美玉,男,2004/12/23,1.8,西17舍614
171,01036245,张文雅,男,2002/9/23,1.6,西17舍614
172,07029136,孟凡庆,男,2005/4/11,1.81,西19舍635
173,03064704,李海龙,男,2005/9/30,1.85,西19舍635
174,02041955,钟晨,女,2003/6/10,1.49,东22舍413
175,05080603,高雅,男,2005/12/23,1.68,西19舍635
176,02080992,贾宇琪,男,2003/10/20,1.9,西19舍635
177,04059998,杨风起,男,2005/10/2,1.75,西1舍439
178,09029003,卢枫,女,2001/6/5,1.69,东22舍413
179,05060449,孙嘉悦,女,2002/9/18,1.6,东14舍534
180,09053347,张欣妍,男,2001/9/30,1.77,西1舍439
181,05099676,闫石松,女,2002/5/30,1.7,东14舍534
182,01040133,张梦龙,男,2002/6/17,1.82,西1舍439
183,03070914,郑松,男,2004/6/11,1.75,西1舍439
184,07029787,康远博,男,2005/7/15,1.73,东20舍211
185,04055817,郝臻,男,2005/10/14,1.78,东20舍211
186,07048101,边麒冲,女,2005/11/2,1.72,东14舍534
187,01098588,赵子凡,男,2003/4/17,1.89,东20舍211
188,04062823,刘胜凯,男,2002/8/29,1.71,东20舍211
189,05035746,曹孟森,女,2005/4/5,1.56,东14舍534
190,01059843,毕雅晴,男,2003/6/23,1.87,西17舍209
191,01023601,郭智慧,男,2003/2/8,1.76,西17舍209
192,02016116,樊博雅,女,2001/2/1,1.55,东17舍711
193,08077792,闵南,女,2001/1/31,1.66,东17舍711
194,02028264,吴世伟,男,2001/5/18,1.75,西17舍209
195,01079840,葛天,男,2002/5/14,1.75,西17舍209
196,04067190,梁栋,男,2001/4/20,1.88,西25舍204
197,07054432,施建琳,男,2003/10/26,1.62,西25舍204
198,02043374,洪前翔,女,2003/5/18,1.57,东17舍711
199,08059937,李博宇,女,2001/8/29,1.65,东17舍711
200,08049217,邢儒骁,男,2005/3/19,1.78,西25舍204
201,02013127,王桦,女,2002/11/23,1.67,西30舍720
202,08097754,李泽乔,男,2003/3/19,1.87,西25舍204
203,03024404,李宇飞,女,2001/5/26,1.56,西30舍720
204,04085408,王宇瀚,男,2003/7/3,1.73,东28舍238
205,02038510,王泽夫,男,2001/6/27,1.94,东28舍238
206,01016725,叶文海,女,2001/12/4,1.63,西30舍720
207,05045708,陈雨,女,2002/3/20,1.55,西30舍720
208,07055154,李佳琪,女,2003/1/22,1.61,东10舍504
209,09051511,杨艺,男,2002/12/5,1.85,东28舍238
210,05085547,刘雨姗,女,2002/12/1,1.61,东10舍504
211,09095354,李智超,男,2004/12/15,1.79,东28舍238
212,03015464,张漪埌,男,2003/5/10,1.69,东4舍633
213,01054372,顾天阳,女,2004/12/26,1.64,东10舍504
214,05076482,施林静,男,2005/11/9,1.74,东4舍633
215,07011314,孙钊,男,2004/10/24,1.66,东4舍633
216,03031142,李秉桢,女,2003/1/16,1.59,东10舍504
217,03059949,黄文轩,女,2001/2/27,1.77,西3舍331
218,05018264,马远歌,女,2003/5/12,1.6,西3舍331
219,08080634,李志杰,男,2001/5/24,1.68,东4舍633
220,01045859,吴俊,男,2005/6/21,1.83,东3舍223
221,07026114,李钰,男,2005/4/17,1.71,东3舍223
222,06058134,王世超,女,2005/2/1,1.54,西3舍331
223,05092381,李潇涵,男,2003/4/30,1.74,东3舍223
224,03023249,王雨珺,女,2001/11/17,1.52,西3舍331
225,08026938,许敏兴,男,2002/3/11,1.69,东3舍223
226,04021992,黄一哲,女,2003/3/30,1.62,东21舍705
227,09018803,李骏捷,男,2003/1/28,1.83,东7舍301
228,04044950,燕鹏飞,女,2002/12/25,1.65,东21舍705
229,08070824,周逸扬,女,2005/7/3,1.64,东21舍705
230,01067714,郭培杰,女,2002/2/11,1.65,东21舍705
231,05044019,周赫,女,2004/4/22,1.59,东21舍638
232,03022704,杨鹏,男,2005/3/25,1.79,东7舍301
233,06071055,陈杳含,女,2005/12/31,1.81,东21舍638
234,04099804,代亚勋,男,2004/6/8,1.74,东7舍301
235,01055225,王俊英,男,2002/5/27,1.7,东7舍301
236,07039304,孙玉雯,男,2004/7/2,1.76,东25舍221
237,03050099,崔宇行,男,2003/10/3,1.67,东25舍221
238,08081942,李玲雪,男,2005/9/4,1.76,东25舍221
239,02029954,张鸿鹏,男,2005/5/13,1.83,东25舍221
240,01017937,韩磊,女,2004/3/26,1.64,东21舍638
241,01071906,高梓涵,男,2001/3/26,1.73,西17舍339
242,02094462,张子轩,女,2005/5/26,1.6,东21舍638
243,05068775,李泊霖,男,2001/3/8,1.87,西17舍339
244,07083275,高思凡,男,2005/12/1,1.81,西17舍339
245,03083643,熊文瀚,女,2005/7/2,1.61,西28舍406
246,01036083,苏帅丁,女,2005/3/25,1.55,西28舍406
247,02039116,张丛庆,女,2004/5/30,1.64,西28舍406
248,02061984,薛同,女,2005/4/8,1.66,西28舍406
249,02058006,谭子航,男,2005/2/26,1.85,西17舍339
250,04014753,刘天泽,女,2003/4/17,1.73,东11舍601
251,09080435,李冠雷,男,2001/4/22,1.73,东30舍212
252,05053291,周少坤,男,2003/4/26,1.52,东30舍212
253,04095150,韩英杰,男,2002/3/16,1.68,东30舍212
254,04079369,边啸宇,女,2004/12/13,1.7,东11舍601
255,07047285,冯博洋,男,2004/8/8,1.65,东30舍212
256,01032486,张宏晶,女,2001/2/3,1.64,东11舍601
257,09071304,王超然,女,2001/4/24,1.66,东11舍601
258,02027932,苏丁娆,女,2003/6/14,1.64,西15舍712
259,04015074,杨开星,女,2004/6/14,1.64,西15舍712
260,03039125,赵射,男,2005/7/14,1.69,西25舍526
261,01048797,孙雨轩,女,2001/6/26,1.62,西15舍712
262,02078570,高梦瑶,男,2001/11/11,1.83,西25舍526
263,08029386,李雪婷,女,2003/1/9,1.62,西15舍712
264,02017806,达慧龙,男,2002/2/19,1.61,西25舍526
265,02071385,刘洪领,女,2005/12/7,1.78,东22舍701
266,04084898,李坤,男,2002/3/5,1.88,西25舍526
267,03020975,张苗苗,男,2005/9/11,1.9,东20舍411
268,02076352,何宁,男,2002/9/11,1.81,东20舍411
269,07044641,王雪峰,女,2002/5/4,1.64,东22舍701
270,04026690,郭磊,男,2004/1/13,1.78,东20舍411
271,07088480,朱俊,男,2001/12/25,1.67,东20舍411
272,07080846,王志豪,男,2005/5/30,1.71,西1舍713
273,03035329,籍莹莹,女,2002/2/4,1.66,东22舍701
274,01018863,李梅,女,2004/10/17,1.7,东22舍701
275,01092761,周末,男,2004/3/12,1.55,西1舍713
276,08086513,张添泽,女,2001/11/1,1.61,西12舍637
277,05076539,刘伊宁,男,2003/1/30,1.68,西1舍713
278,09063381,董盼,男,2005/2/6,1.75,西1舍713
279,03034532,郑玲燕,女,2002/1/11,1.71,西12舍637
280,05090198,牛雅婷,女,2005/1/2,1.73,西12舍637
281,07041797,李亚莼,男,2002/4/23,1.74,西6舍513
282,02049641,范思玮,女,2001/2/4,1.64,西12舍637
283,04099353,侯怡然,女,2003/10/26,1.71,西20舍402
284,07051880,王瑞,女,2003/9/3,1.65,西20舍402
285,04075704,亢泽超,男,2005/3/14,1.83,西6舍513
286,01013659,薛伟基,女,2003/12/26,1.56,西20舍402
287,07031631,刘艳卿,女,2004/2/17,1.6,西20舍402
288,03099169,李雨涵,男,2003/5/8,1.73,西6舍513
289,06028208,王硕,男,2003/10/26,1.7,西6舍513
290,01066946,黄俊龙,女,2002/2/28,1.7,东22舍420
291,02015232,刘峰,女,2003/8/20,1.65,东22舍420
292,01046227,钟庆铭,女,2002/4/15,1.74,东22舍420
293,04046616,左志霄,女,2005/2/21,1.71,东22舍420
294,09028355,王洁,男,2001/5/8,1.89,西25舍321
295,01019417,王佩珧,女,2004/2/3,1.71,西24舍520
296,06029846,杨新涛,男,2004/7/27,1.83,西25舍321
297,05071917,姚嘉业,男,2003/11/30,1.64,西25舍321
298,04012576,沈新阳,女,2003/5/2,1.8,西24舍520
299,05091399,郭娟萍,女,2002/11/9,1.58,西24舍520
300,03041866,常江,女,2003/2/16,1.63,西24舍520
301,08046868,程钰珊,男,2004/5/10,1.77,西25舍321
302,03034418,王渊,男,2004/11/19,1.76,西2舍213
303,03049289,郭辰磊,男,2004/11/2,1.71,西2舍213
304,09085278,于文文,男,2005/5/11,1.8,西2舍213
305,09074338,邱全会,男,2004/9/4,1.75,西2舍213
306,09073224,王睿豪,男,2002/8/17,1.92,东23舍629
307,07010359,李园,男,2005/8/13,1.68,东23舍629
308,05051221,谢佳玉,女,2002/7/12,1.7,东26舍714
309,01084053,谭柯,男,2002/5/16,1.81,东23舍629
310,06022495,叶锦平,男,2005/7/6,1.9,东23舍629
311,09065600,邓昊,男,2005/9/23,1.74,西9舍225
312,04038934,陈梅,女,2005/10/3,1.71,东26舍714
313,07028428,陈俊媛,男,2002/12/12,1.72,西9舍225
314,01089798,刘汉章,男,2002/1/31,1.82,西9舍225
315,03010272,程赛赛,女,2003/6/9,1.55,东26舍714
316,04022865,孙一楠,女,2005/7/21,1.6,东26舍714
317,08032460,李淑媛,女,2005/10/1,1.65,东29舍404
318,09034644,刘奥,女,2003/5/3,1.67,东29舍404
319,02015449,程月龙,女,2004/3/23,1.7,东29舍404
320,01060721,彭凯,男,2002/4/20,1.7,西9舍225
321,01097423,骆洋,男,2003/11/7,1.9,东25舍240
322,02023415,王星亮,女,2002/6/25,1.56,东29舍404
323,01078329,周峰立,男,2001/3/13,1.75,东25舍240
324,07013396,裴智明,男,2004/9/28,1.62,东25舍240
325,05075185,靳谦诚,女,2005/8/13,1.74,西8舍639
326,07047024,张迪,男,2001/9/4,1.77,东25舍240
327,07024773,杨腾锐,男,2005/7/14,1.67,东27舍721
328,06050867,刘一鸣,男,2003/9/28,1.76,东27舍721
329,02046023,陈盼月,女,2005/1/5,1.6,西8舍639
330,04074406,张浩宇,男,2002/7/26,1.72,东27舍721
331,06027364,王欣艺,女,2005/11/8,1.54,西8舍639
332,06027187,郑鑫怡,女,2003/4/11,1.67,西8舍639
333,05027156,张志航,男,2002/2/22,1.72,东27舍721
334,07026057,赵静雯,女,2005/3/24,1.73,西3舍310
335,08048796,王俊雅,男,2001/8/11,1.85,东27舍309
336,09051699,朱曼宁,女,2003/2/1,1.51,西3舍310
337,04014861,王泳淇,男,2002/7/22,1.84,东27舍309
338,03052046,祁立玉,男,2003/1/4,1.78,东27舍309
339,04034710,程诚,男,2005/7/3,1.63,东27舍309
340,08019210,孟泽琪,女,2002/6/14,1.62,西3舍310
341,07017909,王波,男,2005/7/24,1.82,西25舍606
342,02069521,崔佳庆,男,2002/2/21,1.81,西25舍606
343,05062706,耿向宇,女,2005/9/22,1.57,西3舍310
344,03085031,代伟,女,2003/3/21,1.65,西11舍620
345,09078878,秦锐珍,男,2001/10/14,1.74,西25舍606
346,02077288,赵玉婧,女,2001/5/15,1.64,西11舍620
347,03063028,祁靖,女,2003/12/20,1.81,西11舍620
348,07048369,张辛帅,男,2001/10/19,1.73,西25舍606
349,07028014,张云鹏,男,2002/6/11,1.76,西25舍320
350,04014070,闫峰,男,2001/9/9,1.75,西25舍320
351,09067409,闫乐乐,男,2001/2/15,1.71,西25舍320
352,08022341,张凯,男,2005/8/7,1.67,西25舍320
353,05079392,顾毛禧康,男,2003/10/23,1.86,西19舍417
354,07085613,常义,女,2002/3/28,1.63,西11舍620
355,04069996,吴伟杰,男,2005/6/15,1.67,西19舍417
356,09052411,张锐,女,2002/11/7,1.63,西24舍402
357,07053427,桂蕴嘉,男,2003/9/11,1.74,西19舍417
358,09089522,叶华艺,女,2004/4/21,1.64,西24舍402
359,09077560,卢杰辉,男,2005/6/7,1.63,西19舍417
360,01075562,马秀雯,女,2003/7/7,1.68,西24舍402
361,06032507,石刘璇,男,2003/12/2,1.86,西27舍420
362,01036882,唐梓峻,男,2005/2/19,1.76,西27舍420
363,08011963,"欧阳慕
姣",男,2002/11/14,1.81,西27舍420
364,07016093,张璐怡,男,2001/1/25,1.79,西27舍420
365,02023731,马淑彤,男,2003/9/25,1.8,西2舍534
366,04082822,宋浩,女,2005/9/4,1.67,西24舍402
367,07016465,鲍芃荣,男,2004/2/24,1.77,西2舍534
368,04050882,毛源彩,女,2002/2/6,1.72,东14舍740
369,02035856,武楷钧,女,2003/9/4,1.64,东14舍740
370,01068875,许杨柯,男,2002/4/14,1.8,西2舍534
371,03014147,樊子瑞,男,2003/10/18,1.73,西2舍534
372,02079243,张征,女,2005/9/12,1.75,东14舍740
373,07022811,张卿尚,男,2001/3/17,1.79,西9舍517
374,08079807,梁慕尧,男,2002/5/8,1.77,西9舍517
375,02081049,韩佳慧,女,2002/11/6,1.65,东14舍740
376,03036505,钟慧娴,女,2002/9/13,1.69,东21舍627
377,06070933,侯淑婷,女,2002/8/4,1.72,东21舍627
378,04068445,路嘉伟,女,2002/3/7,1.7,东21舍627
379,05067237,黄继磊,女,2002/2/9,1.8,东21舍627
380,07058667,孙鹏凯,男,2004/2/10,1.82,西9舍517
381,02018756,彭淏,女,2001/3/2,1.63,东10舍418
382,07079576,樊雅文,男,2001/9/18,1.68,西9舍517
383,04061179,张若愚,女,2004/10/21,1.63,东10舍418
384,06066645,彭轶华,男,2005/8/8,1.76,东16舍217
385,09058188,王海龙,女,2002/10/16,1.57,东10舍418
386,02059081,赵虞峰,男,2001/11/10,1.98,东16舍217
387,06090094,李朋洋,女,2002/5/26,1.6,东10舍418
388,01035406,肖元彪,男,2005/2/23,1.69,东16舍217
389,09051886,董亚宁,女,2001/9/20,1.72,东19舍638
390,09097787,王树娟,男,2002/2/6,1.73,东16舍217
391,04066019,赵晟德,男,2005/6/6,1.77,西1舍312
392,08011971,李博文,女,2005/9/4,1.56,东19舍638
393,04018336,杨月恒,女,2005/11/26,1.7,东19舍638
394,06046059,郑伟,男,2005/12/2,1.76,西1舍312
395,02040432,刘国宇,男,2002/12/22,1.75,西1舍312
396,08059263,高阳,男,2004/3/22,1.69,西1舍312
397,06076970,武瑾,女,2001/4/22,1.62,东19舍638
398,04075797,高宏亮,女,2003/7/28,1.67,西15舍738
399,06093643,李姝蓉,女,2001/8/23,1.49,西15舍738
400,03064128,袁晓伟,女,2005/3/1,1.6,西15舍738
401,09096920,乌日力格,男,2001/6/29,1.74,东24舍423
402,08045097,王晶,女,2003/12/8,1.57,西15舍738
403,06055696,郝一帆,男,2001/3/25,1.7,东24舍423
404,06041499,马智越,女,2003/7/5,1.54,东10舍729
405,08063944,王怡然,女,2004/3/17,1.86,东10舍729
406,07093510,张琳琳,男,2003/11/17,1.68,东24舍423
407,08017787,何悦,女,2005/11/15,1.73,东10舍729
408,03029638,张文漪,女,2005/12/14,1.7,东10舍729
409,06070296,张佳俊,男,2003/3/24,1.8,东24舍423
410,07071367,万嘉庆,男,2003/12/17,1.83,东13舍636
411,02016377,田济睿,女,2001/2/22,1.75,西28舍718
412,02081325,孙岩,男,2005/5/13,1.85,东13舍636
413,01083782,尹中祺,女,2002/4/14,1.48,西28舍718
414,05094650,王德尧,女,2004/2/29,1.64,西28舍718
415,08076589,赵修平,男,2002/4/17,1.6,东13舍636
416,01010167,黄正道,男,2001/12/12,1.89,东13舍636
417,07012056,张洁,男,2004/1/17,1.73,东6舍537
418,04096740,郭陈滨,女,2003/3/26,1.72,西28舍718
419,07028186,陈佳慧,男,2003/11/2,1.68,东6舍537
420,09093596,赵凌霄,男,2005/12/7,1.85,东6舍537
421,07048594,徐婉淇,男,2002/6/25,1.73,东6舍537
422,01011708,孙灿,女,2004/5/20,1.78,东22舍724
423,09091736,曾庆维,男,2002/10/26,1.72,西6舍238
424,05026833,乔秋杰,男,2003/2/6,1.69,西6舍238
425,04082634,李浩申,男,2003/10/13,1.7,西6舍238
426,08025812,郭子健,男,2002/1/24,1.71,西6舍238
427,08018450,许圣,女,2002/7/29,1.67,东22舍724
428,09071585,郑卢,女,2004/2/22,1.68,东22舍724
429,08086049,沈一童,男,2001/11/13,1.67,西6舍402
430,03013269,陈琳,女,2002/7/1,1.68,东22舍724
431,08049367,刘佳林,女,2004/4/12,1.71,东29舍704
432,03096368,吴潇,男,2004/4/5,1.57,西6舍402
433,09047297,吴忠霖,女,2001/4/12,1.53,东29舍704
434,08053484,周晶伟,女,2004/3/10,1.63,东29舍704
435,05055021,夏梓涵,男,2001/12/18,1.59,西6舍402
436,02069164,霍禹佳,男,2002/12/31,1.7,西6舍402
437,04091376,金祉含,女,2004/7/3,1.66,东29舍704
438,03083631,张艺凡,男,2002/7/6,1.68,西23舍532
439,07099390,张欣阳,男,2004/11/6,1.77,西23舍532
440,02015076,王浩天,女,2003/3/12,1.48,西12舍620
441,09026087,赵阳,男,2003/1/9,1.76,西23舍532
442,05029973,李宇航,男,2005/10/24,1.64,西23舍532
443,08093931,何欣雨,男,2003/5/10,1.69,东24舍303
444,03038569,刘洋,男,2004/11/7,1.87,东24舍303
445,09034676,佟佳尉,男,2005/8/11,1.76,东24舍303
446,05045182,李昕睿,女,2004/8/28,1.7,西12舍620
447,05060198,高原源,女,2001/12/16,1.66,西12舍620
448,07094089,杨轲涵,女,2001/5/1,1.69,西12舍620
449,08014828,赵祎晨,男,2002/5/21,1.61,东24舍303
450,08046745,经艳芳,男,2003/5/31,1.55,东12舍202
451,01057468,周晨曦,女,2003/10/25,1.65,东22舍611
452,02024683,苏婧洁,女,2001/2/16,1.65,东22舍611
453,03074537,田智睿,女,2003/4/26,1.68,东22舍611
